type,w_title,w_full,w_current,w_problem,w_proposal,w_article,precision_at_5,precision_at_10,ndcg_at_10,mrr,average_relevance,average_legal_meaning_score,num_evaluated_pairs,num_unlabeled_pairs,num_sources,objective_score,candidate_recall_objective,ranking_objective,w_raw,w_structured,w_problem_proposal,w_weighted_field,w_cleaned,w_hybrid
weighted_field,0.0,0.1,0.0,0.35,0.45,0.1,0.2987,0.2055,0.7472,0.5281,1.2749,31.02,713,37,75,0.4791,0.3892,0.5808,,,,,,
weighted_field,0.0,0.1,0.0,0.4,0.4,0.1,0.288,0.2126,0.744,0.5137,1.2911,31.36,711,39,75,0.4699,0.3932,0.5722,,,,,,
weighted_field,0.0,0.1,0.0,0.4,0.45,0.05,0.288,0.2075,0.7547,0.5199,1.2758,30.97,707,43,75,0.4744,0.3879,0.5792,,,,,,
weighted_field,0.0,0.1,0.0,0.45,0.35,0.1,0.28,0.207,0.7444,0.5073,1.2841,31.34,704,46,75,0.4648,0.3868,0.5685,,,,,,
weighted_field,0.0,0.1,0.0,0.45,0.4,0.05,0.28,0.2104,0.7464,0.5146,1.2884,31.31,704,46,75,0.4668,0.3895,0.572,,,,,,
weighted_field,0.0,0.1,0.0,0.45,0.45,0.0,0.2853,0.2088,0.7534,0.5201,1.2736,30.95,709,41,75,0.4727,0.3876,0.5781,,,,,,
weighted_field,0.0,0.1,0.05,0.3,0.45,0.1,0.3093,0.2081,0.751,0.5368,1.2867,31.34,722,28,75,0.4873,0.3952,0.5877,,,,,,
weighted_field,0.0,0.1,0.05,0.35,0.4,0.1,0.3013,0.2084,0.7504,0.5258,1.2806,31.14,720,30,75,0.4809,0.3925,0.582,,,,,,
weighted_field,0.0,0.1,0.05,0.35,0.45,0.05,0.304,0.2059,0.7494,0.5266,1.2711,30.93,723,27,75,0.4821,0.3902,0.5823,,,,,,
weighted_field,0.0,0.1,0.05,0.4,0.35,0.1,0.2933,0.2104,0.7523,0.5188,1.2976,31.65,709,41,75,0.4761,0.3942,0.5788,,,,,,
weighted_field,0.0,0.1,0.05,0.4,0.4,0.05,0.2987,0.2109,0.751,0.527,1.2863,31.33,716,34,75,0.4801,0.3942,0.5821,,,,,,
weighted_field,0.0,0.1,0.05,0.4,0.45,0.0,0.296,0.2067,0.7539,0.5286,1.2748,30.98,717,33,75,0.4799,0.3892,0.5835,,,,,,
weighted_field,0.0,0.1,0.05,0.45,0.3,0.1,0.2907,0.205,0.761,0.5121,1.2859,31.54,703,47,75,0.4761,0.3886,0.5798,,,,,,
weighted_field,0.0,0.1,0.05,0.45,0.35,0.05,0.288,0.2067,0.7564,0.5164,1.2819,31.33,706,44,75,0.4742,0.3883,0.5787,,,,,,
weighted_field,0.0,0.1,0.05,0.45,0.4,0.0,0.2933,0.2083,0.7535,0.5239,1.2819,31.31,706,44,75,0.4775,0.3906,0.5811,,,,,,
weighted_field,0.0,0.1,0.1,0.25,0.45,0.1,0.32,0.2107,0.7608,0.55,1.2871,31.46,721,29,75,0.4982,0.3995,0.5989,,,,,,
weighted_field,0.0,0.1,0.1,0.3,0.4,0.1,0.32,0.2088,0.7581,0.5304,1.2918,31.59,723,27,75,0.4935,0.3991,0.5908,,,,,,
weighted_field,0.0,0.1,0.1,0.3,0.45,0.05,0.3173,0.2095,0.75,0.5347,1.2853,31.33,722,28,75,0.4906,0.3978,0.5881,,,,,,
weighted_field,0.0,0.1,0.1,0.35,0.35,0.1,0.2987,0.213,0.7479,0.5227,1.295,31.6,722,28,75,0.4783,0.3967,0.5792,,,,,,
weighted_field,0.0,0.1,0.1,0.35,0.4,0.05,0.2987,0.215,0.7529,0.5245,1.2989,31.65,726,24,75,0.4801,0.3985,0.5821,,,,,,
weighted_field,0.0,0.1,0.1,0.35,0.45,0.0,0.3067,0.2081,0.7545,0.5276,1.2853,31.44,722,28,75,0.4852,0.3943,0.5855,,,,,,
weighted_field,0.0,0.1,0.1,0.4,0.3,0.1,0.2987,0.2044,0.7617,0.5231,1.2915,31.82,710,40,75,0.4825,0.391,0.5856,,,,,,
weighted_field,0.0,0.1,0.1,0.4,0.35,0.05,0.3013,0.206,0.7595,0.5214,1.2809,31.43,712,38,75,0.4828,0.3911,0.5845,,,,,,
weighted_field,0.0,0.1,0.1,0.4,0.4,0.0,0.2987,0.2061,0.7605,0.5223,1.2674,30.98,718,32,75,0.482,0.3884,0.5848,,,,,,
weighted_field,0.0,0.1,0.1,0.45,0.25,0.1,0.296,0.1993,0.77,0.5214,1.2677,31.34,706,44,75,0.4833,0.3837,0.5882,,,,,,
weighted_field,0.0,0.1,0.1,0.45,0.3,0.05,0.2907,0.2005,0.7674,0.5303,1.2741,31.43,704,46,75,0.4816,0.3841,0.5891,,,,,,
weighted_field,0.0,0.1,0.1,0.45,0.35,0.0,0.2907,0.2018,0.7642,0.5285,1.2797,31.48,708,42,75,0.4803,0.3857,0.587,,,,,,
weighted_field,0.0,0.15,0.0,0.3,0.45,0.1,0.312,0.2042,0.7504,0.5338,1.2962,31.58,719,31,75,0.4879,0.3949,0.5869,,,,,,
weighted_field,0.0,0.15,0.0,0.35,0.4,0.1,0.3067,0.2088,0.7494,0.5139,1.2861,31.27,727,23,75,0.4809,0.3949,0.5784,,,,,,
weighted_field,0.0,0.15,0.0,0.35,0.45,0.05,0.304,0.2031,0.7578,0.5324,1.2739,30.96,723,27,75,0.4858,0.3889,0.5881,,,,,,
weighted_field,0.0,0.15,0.0,0.4,0.35,0.1,0.2987,0.2111,0.7434,0.5044,1.3109,31.98,714,36,75,0.4732,0.398,0.5708,,,,,,
weighted_field,0.0,0.15,0.0,0.4,0.4,0.05,0.304,0.2093,0.745,0.5163,1.2913,31.45,721,29,75,0.4788,0.3953,0.5768,,,,,,
weighted_field,0.0,0.15,0.0,0.4,0.45,0.0,0.3067,0.2054,0.7604,0.5241,1.2667,30.8,720,30,75,0.4863,0.3899,0.587,,,,,,
weighted_field,0.0,0.15,0.0,0.45,0.3,0.1,0.2907,0.2078,0.7429,0.5023,1.2966,31.63,708,42,75,0.4687,0.3918,0.5683,,,,,,
weighted_field,0.0,0.15,0.0,0.45,0.35,0.05,0.2933,0.2063,0.7487,0.5099,1.2976,31.66,709,41,75,0.4732,0.3917,0.574,,,,,,
weighted_field,0.0,0.15,0.0,0.45,0.4,0.0,0.2987,0.2095,0.7456,0.5119,1.3025,31.81,714,36,75,0.4754,0.3957,0.5744,,,,,,
weighted_field,0.0,0.15,0.05,0.25,0.45,0.1,0.3147,0.2086,0.7648,0.5548,1.2992,31.67,722,28,75,0.4977,0.3987,0.6013,,,,,,
weighted_field,0.0,0.15,0.05,0.3,0.4,0.1,0.3147,0.2047,0.7584,0.5341,1.2937,31.51,732,18,75,0.4917,0.3955,0.5912,,,,,,
weighted_field,0.0,0.15,0.05,0.3,0.45,0.05,0.3093,0.2052,0.7592,0.5408,1.294,31.5,728,22,75,0.4906,0.3945,0.5928,,,,,,
weighted_field,0.0,0.15,0.05,0.35,0.35,0.1,0.3013,0.2091,0.7514,0.5217,1.2969,31.62,731,19,75,0.4804,0.3953,0.581,,,,,,
weighted_field,0.0,0.15,0.05,0.35,0.4,0.05,0.3013,0.2073,0.7491,0.5248,1.2824,31.23,733,17,75,0.4803,0.3921,0.581,,,,,,
weighted_field,0.0,0.15,0.05,0.35,0.45,0.0,0.3067,0.2038,0.7589,0.5341,1.2808,31.25,730,20,75,0.4878,0.3911,0.5898,,,,,,
weighted_field,0.0,0.15,0.05,0.4,0.3,0.1,0.2933,0.2083,0.7545,0.5114,1.2962,31.82,719,31,75,0.4753,0.3927,0.5772,,,,,,
weighted_field,0.0,0.15,0.05,0.4,0.35,0.05,0.2933,0.2046,0.7628,0.523,1.2857,31.52,721,29,75,0.4801,0.3889,0.585,,,,,,
weighted_field,0.0,0.15,0.05,0.4,0.4,0.0,0.2987,0.2091,0.7547,0.5292,1.2857,31.28,728,22,75,0.4816,0.393,0.5846,,,,,,
weighted_field,0.0,0.15,0.05,0.45,0.25,0.1,0.296,0.2052,0.7593,0.5173,1.2918,31.74,706,44,75,0.4792,0.3909,0.5819,,,,,,
weighted_field,0.0,0.15,0.05,0.45,0.3,0.05,0.2987,0.2024,0.76,0.5154,1.2757,31.34,711,39,75,0.4804,0.3875,0.5821,,,,,,
weighted_field,0.0,0.15,0.05,0.45,0.35,0.0,0.296,0.2054,0.7571,0.5134,1.2833,31.49,713,37,75,0.4778,0.3897,0.5796,,,,,,
weighted_field,0.0,0.15,0.1,0.2,0.45,0.1,0.3147,0.2138,0.7657,0.566,1.3162,32.29,721,29,75,0.5003,0.4044,0.6056,,,,,,
weighted_field,0.0,0.15,0.1,0.25,0.4,0.1,0.32,0.2068,0.7669,0.5527,1.2808,31.34,730,20,75,0.5006,0.3962,0.6025,,,,,,
weighted_field,0.0,0.15,0.1,0.25,0.45,0.05,0.32,0.2077,0.761,0.5558,1.2857,31.41,728,22,75,0.4995,0.3975,0.601,,,,,,
weighted_field,0.0,0.15,0.1,0.3,0.35,0.1,0.312,0.2104,0.7581,0.5349,1.2976,31.73,736,14,75,0.4904,0.3989,0.5908,,,,,,
weighted_field,0.0,0.15,0.1,0.3,0.4,0.05,0.3093,0.2101,0.7587,0.5354,1.2896,31.45,732,18,75,0.4893,0.3968,0.5907,,,,,,
weighted_field,0.0,0.15,0.1,0.3,0.45,0.0,0.3147,0.2053,0.7553,0.543,1.2771,31.18,729,21,75,0.4925,0.3934,0.5929,,,,,,
weighted_field,0.0,0.15,0.1,0.35,0.3,0.1,0.2987,0.2067,0.7621,0.5264,1.2938,31.81,725,25,75,0.4833,0.3928,0.5869,,,,,,
weighted_field,0.0,0.15,0.1,0.35,0.35,0.05,0.2987,0.2128,0.7559,0.5335,1.2964,31.73,732,18,75,0.4828,0.3968,0.5866,,,,,,
weighted_field,0.0,0.15,0.1,0.35,0.4,0.0,0.3013,0.21,0.7531,0.5273,1.2927,31.55,731,19,75,0.482,0.3952,0.5837,,,,,,
weighted_field,0.0,0.15,0.1,0.4,0.25,0.1,0.2987,0.206,0.7591,0.511,1.2871,31.73,707,43,75,0.4793,0.3913,0.5802,,,,,,
weighted_field,0.0,0.15,0.1,0.4,0.3,0.05,0.3013,0.202,0.7707,0.5282,1.2741,31.3,715,35,75,0.4875,0.3876,0.5919,,,,,,
weighted_field,0.0,0.15,0.1,0.4,0.35,0.0,0.296,0.2042,0.764,0.5315,1.278,31.41,723,27,75,0.4835,0.3882,0.589,,,,,,
weighted_field,0.0,0.15,0.1,0.45,0.2,0.1,0.2987,0.2028,0.7676,0.5223,1.2818,31.67,699,51,75,0.4841,0.3886,0.588,,,,,,
weighted_field,0.0,0.15,0.1,0.45,0.25,0.05,0.296,0.2026,0.7684,0.5229,1.2756,31.44,704,46,75,0.4831,0.3869,0.588,,,,,,
weighted_field,0.0,0.15,0.1,0.45,0.3,0.0,0.304,0.2029,0.7671,0.5247,1.2764,31.42,709,41,75,0.4871,0.3892,0.5896,,,,,,
weighted_field,0.0,0.2,0.0,0.25,0.45,0.1,0.3093,0.2035,0.7507,0.5331,1.2986,31.74,720,30,75,0.4865,0.3942,0.5863,,,,,,
weighted_field,0.0,0.2,0.0,0.3,0.4,0.1,0.3067,0.2023,0.7546,0.5319,1.2948,31.55,726,24,75,0.4861,0.3923,0.5871,,,,,,
weighted_field,0.0,0.2,0.0,0.3,0.45,0.05,0.304,0.2026,0.7556,0.5376,1.2907,31.38,719,31,75,0.4862,0.3912,0.589,,,,,,
weighted_field,0.0,0.2,0.0,0.35,0.35,0.1,0.296,0.2111,0.7426,0.5166,1.3141,32.08,729,21,75,0.4741,0.3978,0.5742,,,,,,
weighted_field,0.0,0.2,0.0,0.35,0.4,0.05,0.2987,0.2054,0.7524,0.5213,1.284,31.29,729,21,75,0.4793,0.3905,0.5808,,,,,,
weighted_field,0.0,0.2,0.0,0.35,0.45,0.0,0.304,0.2033,0.755,0.5308,1.2839,31.26,722,28,75,0.4847,0.3906,0.5863,,,,,,
weighted_field,0.0,0.2,0.0,0.4,0.3,0.1,0.2827,0.2084,0.7456,0.508,1.3072,32.03,713,37,75,0.4666,0.3918,0.5699,,,,,,
weighted_field,0.0,0.2,0.0,0.4,0.35,0.05,0.2907,0.2068,0.7486,0.5136,1.3037,31.8,721,29,75,0.4726,0.3923,0.5748,,,,,,
weighted_field,0.0,0.2,0.0,0.4,0.4,0.0,0.296,0.2089,0.7411,0.5206,1.304,31.77,727,23,75,0.4744,0.3949,0.5749,,,,,,
weighted_field,0.0,0.2,0.0,0.45,0.25,0.1,0.296,0.2045,0.7501,0.5199,1.2984,31.92,707,43,75,0.477,0.3915,0.5787,,,,,,
weighted_field,0.0,0.2,0.0,0.45,0.3,0.05,0.288,0.21,0.7459,0.5165,1.3052,32.03,711,39,75,0.4711,0.3938,0.574,,,,,,
weighted_field,0.0,0.2,0.0,0.45,0.35,0.0,0.2933,0.2058,0.7497,0.5123,1.2949,31.75,712,38,75,0.474,0.391,0.5753,,,,,,
weighted_field,0.0,0.2,0.05,0.2,0.45,0.1,0.312,0.2093,0.7677,0.5697,1.3121,32.0,721,29,75,0.5003,0.4004,0.6073,,,,,,
weighted_field,0.0,0.2,0.05,0.25,0.4,0.1,0.3093,0.209,0.7655,0.5479,1.3041,31.69,730,20,75,0.4939,0.3983,0.5981,,,,,,
weighted_field,0.0,0.2,0.05,0.25,0.45,0.05,0.3173,0.209,0.7629,0.5507,1.3048,31.8,725,25,75,0.4977,0.4004,0.5995,,,,,,
weighted_field,0.0,0.2,0.05,0.3,0.35,0.1,0.3013,0.2114,0.7491,0.5229,1.3116,31.97,735,15,75,0.48,0.3989,0.5804,,,,,,
weighted_field,0.0,0.2,0.05,0.3,0.4,0.05,0.304,0.2062,0.762,0.537,1.2842,31.26,732,18,75,0.488,0.3923,0.5917,,,,,,
weighted_field,0.0,0.2,0.05,0.3,0.45,0.0,0.3093,0.2021,0.7613,0.5353,1.2785,31.11,729,21,75,0.4901,0.3904,0.5918,,,,,,
weighted_field,0.0,0.2,0.05,0.35,0.3,0.1,0.2907,0.2085,0.753,0.5295,1.2898,31.74,728,22,75,0.4771,0.3912,0.5823,,,,,,
weighted_field,0.0,0.2,0.05,0.35,0.35,0.05,0.2907,0.2077,0.7544,0.5266,1.2955,31.75,731,19,75,0.477,0.3916,0.5819,,,,,,
weighted_field,0.0,0.2,0.05,0.35,0.4,0.0,0.2907,0.2098,0.7483,0.5228,1.3029,31.77,733,17,75,0.4744,0.394,0.5779,,,,,,
weighted_field,0.0,0.2,0.05,0.4,0.25,0.1,0.2907,0.2028,0.7505,0.5196,1.2843,31.66,714,36,75,0.4744,0.387,0.5777,,,,,,
weighted_field,0.0,0.2,0.05,0.4,0.3,0.05,0.288,0.2044,0.7552,0.5246,1.2843,31.57,721,29,75,0.4755,0.3873,0.581,,,,,,
weighted_field,0.0,0.2,0.05,0.4,0.35,0.0,0.2933,0.2051,0.7635,0.5323,1.2847,31.49,727,23,75,0.4822,0.3891,0.5885,,,,,,
weighted_field,0.0,0.2,0.05,0.45,0.2,0.1,0.2987,0.2052,0.7552,0.5199,1.2981,32.04,701,49,75,0.4799,0.3925,0.5815,,,,,,
weighted_field,0.0,0.2,0.05,0.45,0.25,0.05,0.2907,0.2048,0.7549,0.5266,1.2885,31.72,707,43,75,0.4771,0.3888,0.5822,,,,,,
weighted_field,0.0,0.2,0.05,0.45,0.3,0.0,0.2907,0.2069,0.754,0.526,1.2895,31.62,715,35,75,0.4768,0.3902,0.5815,,,,,,
weighted_field,0.0,0.2,0.1,0.2,0.4,0.1,0.3173,0.2127,0.7799,0.5843,1.3182,32.3,729,21,75,0.5095,0.4047,0.6189,,,,,,
weighted_field,0.0,0.2,0.1,0.2,0.45,0.05,0.32,0.2149,0.7698,0.5723,1.325,32.47,723,27,75,0.5054,0.4077,0.6107,,,,,,
weighted_field,0.0,0.2,0.1,0.25,0.35,0.1,0.3067,0.2119,0.7694,0.5458,1.3106,32.26,734,16,75,0.4933,0.4004,0.5986,,,,,,
weighted_field,0.0,0.2,0.1,0.25,0.4,0.05,0.3173,0.2091,0.7713,0.5615,1.301,31.95,731,19,75,0.5023,0.3999,0.6071,,,,,,
weighted_field,0.0,0.2,0.1,0.25,0.45,0.0,0.3147,0.2112,0.7673,0.5696,1.3156,32.31,732,18,75,0.5015,0.4027,0.6076,,,,,,
weighted_field,0.0,0.2,0.1,0.3,0.3,0.1,0.296,0.2092,0.7538,0.5249,1.3087,32.12,732,18,75,0.4791,0.3958,0.5821,,,,,,
weighted_field,0.0,0.2,0.1,0.3,0.35,0.05,0.304,0.2086,0.7582,0.5343,1.3003,31.84,736,14,75,0.4863,0.3962,0.589,,,,,,
weighted_field,0.0,0.2,0.1,0.3,0.4,0.0,0.304,0.2084,0.7634,0.5341,1.2947,31.74,733,17,75,0.4878,0.3952,0.5913,,,,,,
weighted_field,0.0,0.2,0.1,0.35,0.25,0.1,0.2853,0.202,0.7626,0.5201,1.2772,31.51,718,32,75,0.4754,0.3841,0.5823,,,,,,
weighted_field,0.0,0.2,0.1,0.35,0.3,0.05,0.2853,0.2052,0.7552,0.5254,1.2959,31.97,730,20,75,0.4743,0.3888,0.5808,,,,,,
weighted_field,0.0,0.2,0.1,0.35,0.35,0.0,0.2987,0.2081,0.7548,0.5278,1.2927,31.68,731,19,75,0.4814,0.3934,0.5841,,,,,,
weighted_field,0.0,0.2,0.1,0.4,0.2,0.1,0.2933,0.2031,0.7559,0.5236,1.2881,31.9,708,42,75,0.4781,0.3884,0.5821,,,,,,
weighted_field,0.0,0.2,0.1,0.4,0.25,0.05,0.2933,0.2018,0.7619,0.5164,1.2771,31.58,711,39,75,0.4785,0.386,0.5823,,,,,,
weighted_field,0.0,0.2,0.1,0.4,0.3,0.0,0.2933,0.2023,0.7666,0.5246,1.2748,31.32,717,33,75,0.4815,0.3859,0.5872,,,,,,
weighted_field,0.0,0.2,0.1,0.45,0.2,0.05,0.2987,0.2057,0.7611,0.5377,1.2976,32.11,699,51,75,0.4852,0.3927,0.5904,,,,,,
weighted_field,0.0,0.2,0.1,0.45,0.25,0.0,0.296,0.2054,0.7607,0.5198,1.2865,31.71,705,45,75,0.4802,0.3902,0.5834,,,,,,
weighted_field,0.0,0.25,0.0,0.2,0.45,0.1,0.3013,0.2064,0.7643,0.5607,1.3073,32.0,716,34,75,0.4921,0.3953,0.6004,,,,,,
weighted_field,0.0,0.25,0.0,0.25,0.4,0.1,0.3013,0.2032,0.7577,0.5389,1.2952,31.59,725,25,75,0.4857,0.3915,0.5898,,,,,,
weighted_field,0.0,0.25,0.0,0.25,0.45,0.05,0.3067,0.2036,0.7564,0.5375,1.2926,31.57,721,29,75,0.4878,0.3927,0.5898,,,,,,
weighted_field,0.0,0.25,0.0,0.3,0.35,0.1,0.2987,0.2044,0.7567,0.5239,1.3032,31.77,729,21,75,0.4811,0.3928,0.5836,,,,,,
weighted_field,0.0,0.25,0.0,0.3,0.4,0.05,0.2933,0.2033,0.7564,0.5402,1.2914,31.46,731,19,75,0.4816,0.389,0.5881,,,,,,
weighted_field,0.0,0.25,0.0,0.3,0.45,0.0,0.3013,0.2069,0.7538,0.5372,1.296,31.66,723,27,75,0.4842,0.3939,0.5875,,,,,,
weighted_field,0.0,0.25,0.0,0.35,0.3,0.1,0.2907,0.2045,0.7486,0.5196,1.2909,31.67,722,28,75,0.4738,0.389,0.5769,,,,,,
weighted_field,0.0,0.25,0.0,0.35,0.35,0.05,0.2907,0.2071,0.7416,0.5209,1.294,31.61,728,22,75,0.472,0.391,0.5742,,,,,,
weighted_field,0.0,0.25,0.0,0.35,0.4,0.0,0.296,0.2026,0.7554,0.5243,1.2894,31.46,729,21,75,0.4795,0.389,0.5826,,,,,,
weighted_field,0.0,0.25,0.0,0.4,0.25,0.1,0.288,0.2043,0.75,0.524,1.2914,31.75,707,43,75,0.4738,0.3883,0.5785,,,,,,
weighted_field,0.0,0.25,0.0,0.4,0.3,0.05,0.2853,0.2043,0.751,0.5226,1.2891,31.61,716,34,75,0.4725,0.3873,0.5779,,,,,,
weighted_field,0.0,0.25,0.0,0.4,0.35,0.0,0.2907,0.2027,0.7465,0.5167,1.2831,31.34,724,26,75,0.4726,0.3868,0.5749,,,,,,
weighted_field,0.0,0.25,0.0,0.45,0.2,0.1,0.2853,0.2021,0.7545,0.5321,1.2786,31.5,700,50,75,0.4754,0.3844,0.5828,,,,,,
weighted_field,0.0,0.25,0.0,0.45,0.25,0.05,0.288,0.2049,0.7546,0.5336,1.2908,31.79,705,45,75,0.4771,0.3886,0.5839,,,,,,
weighted_field,0.0,0.25,0.0,0.45,0.3,0.0,0.2933,0.2026,0.7536,0.5238,1.2887,31.63,710,40,75,0.4775,0.3882,0.5811,,,,,,
weighted_field,0.0,0.25,0.05,0.2,0.4,0.1,0.3067,0.2078,0.7848,0.5866,1.325,32.59,723,27,75,0.5061,0.4001,0.6198,,,,,,
weighted_field,0.0,0.25,0.05,0.2,0.45,0.05,0.312,0.2064,0.7746,0.5655,1.3148,32.26,721,29,75,0.5015,0.3991,0.6089,,,,,,
weighted_field,0.0,0.25,0.05,0.25,0.35,0.1,0.304,0.2027,0.7765,0.5616,1.2902,31.56,734,16,75,0.4973,0.3911,0.6068,,,,,,
weighted_field,0.0,0.25,0.05,0.25,0.4,0.05,0.304,0.209,0.7719,0.5582,1.3041,31.94,730,20,75,0.4952,0.397,0.6035,,,,,,
weighted_field,0.0,0.25,0.05,0.25,0.45,0.0,0.3067,0.208,0.7678,0.5602,1.3094,32.06,724,26,75,0.4957,0.3979,0.6029,,,,,,
weighted_field,0.0,0.25,0.05,0.3,0.3,0.1,0.2907,0.209,0.7541,0.5289,1.3056,32.11,733,17,75,0.4774,0.3939,0.5826,,,,,,
weighted_field,0.0,0.25,0.05,0.3,0.35,0.05,0.2907,0.2116,0.7525,0.5359,1.3106,32.07,734,16,75,0.4783,0.3962,0.5843,,,,,,
weighted_field,0.0,0.25,0.05,0.3,0.4,0.0,0.3013,0.205,0.7671,0.5491,1.2923,31.5,732,18,75,0.4906,0.3922,0.5976,,,,,,
weighted_field,0.0,0.25,0.05,0.35,0.25,0.1,0.2853,0.2066,0.7516,0.5202,1.2869,31.72,718,32,75,0.4722,0.3883,0.5774,,,,,,
weighted_field,0.0,0.25,0.05,0.35,0.3,0.05,0.2773,0.2088,0.7465,0.5272,1.2953,31.85,728,22,75,0.468,0.3889,0.5759,,,,,,
weighted_field,0.0,0.25,0.05,0.35,0.35,0.0,0.2933,0.2053,0.7526,0.5291,1.2886,31.65,731,19,75,0.4783,0.3898,0.5825,,,,,,
weighted_field,0.0,0.25,0.05,0.4,0.2,0.1,0.2827,0.205,0.7522,0.5272,1.2918,31.92,706,44,75,0.4724,0.3874,0.5796,,,,,,
weighted_field,0.0,0.25,0.05,0.4,0.25,0.05,0.288,0.2043,0.7553,0.5272,1.2763,31.46,713,37,75,0.476,0.386,0.582,,,,,,
weighted_field,0.0,0.25,0.05,0.4,0.3,0.0,0.2853,0.2025,0.7562,0.5246,1.2736,31.32,720,30,75,0.4744,0.3839,0.581,,,,,,
weighted_field,0.0,0.25,0.05,0.45,0.2,0.05,0.288,0.2012,0.7584,0.5339,1.2825,31.75,701,49,75,0.4783,0.3851,0.5857,,,,,,
weighted_field,0.0,0.25,0.05,0.45,0.25,0.0,0.2907,0.2007,0.7577,0.5303,1.274,31.48,708,42,75,0.4787,0.3842,0.5847,,,,,,
weighted_field,0.0,0.25,0.1,0.2,0.35,0.1,0.2987,0.208,0.7909,0.5827,1.3105,32.39,731,19,75,0.5032,0.3961,0.6196,,,,,,
weighted_field,0.0,0.25,0.1,0.2,0.4,0.05,0.304,0.21,0.7843,0.5883,1.315,32.47,727,23,75,0.505,0.3992,0.6196,,,,,,
weighted_field,0.0,0.25,0.1,0.2,0.45,0.0,0.3067,0.2136,0.7747,0.58,1.3246,32.64,727,23,75,0.5018,0.4035,0.613,,,,,,
weighted_field,0.0,0.25,0.1,0.25,0.3,0.1,0.2987,0.2077,0.7684,0.554,1.3101,32.26,732,18,75,0.4907,0.3958,0.5994,,,,,,
weighted_field,0.0,0.25,0.1,0.25,0.35,0.05,0.2987,0.2089,0.77,0.559,1.3097,32.29,733,17,75,0.4921,0.3965,0.6019,,,,,,
weighted_field,0.0,0.25,0.1,0.25,0.4,0.0,0.296,0.2096,0.7704,0.5623,1.3174,32.42,731,19,75,0.4916,0.3974,0.6027,,,,,,
weighted_field,0.0,0.25,0.1,0.3,0.25,0.1,0.288,0.2074,0.759,0.5246,1.2997,32.12,724,26,75,0.4766,0.3914,0.5828,,,,,,
weighted_field,0.0,0.25,0.1,0.3,0.3,0.05,0.2933,0.2077,0.7599,0.5384,1.2986,31.93,730,20,75,0.4823,0.3927,0.5891,,,,,,
weighted_field,0.0,0.25,0.1,0.3,0.35,0.0,0.2987,0.2095,0.7566,0.5355,1.3079,32.13,734,16,75,0.4834,0.3966,0.5876,,,,,,
weighted_field,0.0,0.25,0.1,0.35,0.2,0.1,0.2933,0.2017,0.7598,0.5363,1.2716,31.48,707,43,75,0.4819,0.3851,0.5883,,,,,,
weighted_field,0.0,0.25,0.1,0.35,0.25,0.05,0.2907,0.2063,0.7567,0.5268,1.2859,31.78,717,33,75,0.4777,0.3893,0.583,,,,,,
weighted_field,0.0,0.25,0.1,0.35,0.3,0.0,0.288,0.203,0.7567,0.5247,1.2871,31.73,728,22,75,0.4759,0.3869,0.5818,,,,,,
weighted_field,0.0,0.25,0.1,0.4,0.2,0.05,0.2907,0.2023,0.7614,0.5336,1.2805,31.71,706,44,75,0.4805,0.3861,0.5875,,,,,,
weighted_field,0.0,0.25,0.1,0.4,0.25,0.0,0.2907,0.2003,0.7583,0.5213,1.2755,31.54,715,35,75,0.4771,0.3842,0.5818,,,,,,
weighted_field,0.0,0.25,0.1,0.45,0.2,0.0,0.2907,0.2047,0.7574,0.5328,1.293,32.08,703,47,75,0.4791,0.3894,0.5854,,,,,,
weighted_field,0.0,0.3,0.0,0.2,0.4,0.1,0.3067,0.2038,0.7694,0.5714,1.3003,31.96,716,34,75,0.4984,0.394,0.6076,,,,,,
weighted_field,0.0,0.3,0.0,0.2,0.45,0.05,0.3067,0.2056,0.7667,0.5628,1.2997,31.94,714,36,75,0.4959,0.395,0.6033,,,,,,
weighted_field,0.0,0.3,0.0,0.25,0.35,0.1,0.304,0.2055,0.7705,0.5521,1.309,31.95,725,25,75,0.4936,0.3956,0.6008,,,,,,
weighted_field,0.0,0.3,0.0,0.25,0.4,0.05,0.3013,0.203,0.7637,0.5466,1.2934,31.47,726,24,75,0.4891,0.3911,0.5952,,,,,,
weighted_field,0.0,0.3,0.0,0.25,0.45,0.0,0.3013,0.2039,0.759,0.5526,1.3024,31.83,721,29,75,0.4889,0.393,0.5952,,,,,,
weighted_field,0.0,0.3,0.0,0.3,0.3,0.1,0.2933,0.2076,0.7507,0.5443,1.3118,32.18,728,22,75,0.4807,0.3947,0.587,,,,,,
weighted_field,0.0,0.3,0.0,0.3,0.35,0.05,0.296,0.2036,0.7695,0.5463,1.2979,31.65,725,25,75,0.4881,0.3908,0.5967,,,,,,
weighted_field,0.0,0.3,0.0,0.3,0.4,0.0,0.3013,0.2052,0.7616,0.5474,1.293,31.52,727,23,75,0.4886,0.3924,0.5946,,,,,,
weighted_field,0.0,0.3,0.0,0.35,0.25,0.1,0.2773,0.2027,0.7518,0.5325,1.2891,31.75,709,41,75,0.4707,0.3843,0.5801,,,,,,
weighted_field,0.0,0.3,0.0,0.35,0.3,0.05,0.2853,0.2076,0.752,0.5408,1.2993,31.82,725,25,75,0.4764,0.3908,0.5847,,,,,,
